TOC/Third Party Description,Location Description,Location Code,TOC/Third Party Code,Current Business Name,Retail Channel,Whitelabel
NORTHERN - WEST,FERRIBY SST,1713,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,FILEY SST,1714,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,FITZWILLIAM SST,6653,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,FLIMBY  SST,1715,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,FLIXTON,2935,HD,NORTHERN - WEST,Ticket Office,N/A
NORTHERN - WEST,FLIXTON SST,8408,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,FLOWERY FIELD SST,6654,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,FOXFIELD SST,1716,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,FRIZINGHALL SST,6656,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,FURNESS VALE SST,1717,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,G4S MANCHESTER (RP),1697,HD,NORTHERN - WEST,TOC Handheld,N/A
NORTHERN - WEST,GAINSBOROUGH CENTRAL SST,6034,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,GARFORTH,8474,HD,NORTHERN - WEST,Ticket Office,N/A
NORTHERN - WEST,GARFORTH SST,2932,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,GARSWOOD,2335,HD,NORTHERN - WEST,Ticket Office,N/A
NORTHERN - WEST,GARSWOOD SST,8383,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,GATHURST SST,1723,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,GATLEY,2953,HD,NORTHERN - WEST,Ticket Office,N/A
NORTHERN - WEST,GATLEY SST,8409,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,GILBERDYKE SST,1742,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,GLAISDALE SST,1906,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,GLASSHOUGHTON SST,1907,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,GLAZEBROOK,2301,HD,NORTHERN - WEST,Ticket Office,N/A
NORTHERN - WEST,GLAZEBROOK SST,8410,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,GLOSSOP,2895,HD,NORTHERN - WEST,Ticket Office,N/A
NORTHERN - WEST,GLOSSOP SST,6266,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,GMPTE HQ INPUT,1180,HD,NORTHERN - WEST,TOC Other,N/A
NORTHERN - WEST,GODLEY SST,1908,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,GOLDTHORPE SST,8412,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,GOOLE,8025,HD,NORTHERN - WEST,Ticket Office,N/A
NORTHERN - WEST,GOOLE SST,6659,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,GOOSTRY SST,8767,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,GORTON,2962,HD,NORTHERN - WEST,Ticket Office,N/A
NORTHERN - WEST,GORTON SST,1910,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,GRANGE-OVER SANDS SST,1912,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,GRANGE-OVER-SANDS,1965,HD,NORTHERN - WEST,Ticket Office,N/A
NORTHERN - WEST,GREAT AYTON SST,1913,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,GREEN ROAD SST,1916,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,GREENBANK SST,6699,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,GREENFIELD,2900,HD,NORTHERN - WEST,Ticket Office,N/A
NORTHERN - WEST,GREENFIELD SST,7862,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,GRINDLEFORD SST,1927,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,GROSMONT SST,1928,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,GUIDE BRIDGE,2955,HD,NORTHERN - WEST,Ticket Office,N/A
NORTHERN - WEST,GUIDE BRIDGE SST,1930,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,GUISELEY,8567,HD,NORTHERN - WEST,Ticket Office,N/A
NORTHERN - WEST,GUISELEY SST,2933,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,GYPSY LANE SST,1932,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,HADFIELD,2896,HD,NORTHERN - WEST,Ticket Office,N/A
NORTHERN - WEST,HADFIELD SST,6700,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,HAG FOLD,2585,HD,NORTHERN - WEST,Ticket Office,N/A
NORTHERN - WEST,HAG FOLD SST,1934,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,HALE,2845,HD,NORTHERN - WEST,Ticket Office,N/A
NORTHERN - WEST,HALE SST,1936,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,HALEWOOD,2295,HD,NORTHERN - WEST,Ticket Office,N/A
NORTHERN - WEST,HALEWOOD SST,8377,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,HALIFAX,8411,HD,NORTHERN - WEST,Ticket Office,N/A
NORTHERN - WEST,HALIFAX SST,2934,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,HALTWHISTLE SST,6701,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,HAMMERTON SST,8511,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,HANDFORTH,2767,HD,NORTHERN - WEST,Ticket Office,N/A
NORTHERN - WEST,HANDFORTH SST,8749,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,HAPTON SST,8769,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,HARRINGTON SST,1938,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,HARROGATE,8213,HD,NORTHERN - WEST,Ticket Office,N/A
NORTHERN - WEST,HARROGATE (NR) RP,3771,HD,NORTHERN - WEST,TOC Handheld,N/A
NORTHERN - WEST,HARROGATE OTS,7823,HD,NORTHERN - WEST,TOC Handheld,N/A
NORTHERN - WEST,HARROGATE SST,2957,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,HARTLEPOOL,8009,HD,NORTHERN - WEST,Ticket Office,N/A
NORTHERN - WEST,HARTLEPOOL SST,6702,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,HATFIELD & SAINFORTH SST,1939,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,HATHERSAGE SST,1941,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,HATTERSLEY,2604,HD,NORTHERN - WEST,Ticket Office,N/A
NORTHERN - WEST,HATTERSLEY SST,1942,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,HAYDON BRIDGE SST,1943,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,HAZEL GROVE,2768,HD,NORTHERN - WEST,Ticket Office,N/A
NORTHERN - WEST,HAZEL GROVE SST,6703,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,HD CHQ REFUNDS PAC MANCHESTER,231,HD,NORTHERN - WEST,TOC Other,N/A
NORTHERN - WEST,HEADINGLEY SST,6704,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,HEALD GREEN,2860,HD,NORTHERN - WEST,Ticket Office,N/A
NORTHERN - WEST,HEALD GREEN SST,8418,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,HEATON CHAPEL,2861,HD,NORTHERN - WEST,Ticket Office,N/A
NORTHERN - WEST,HEATON CHAPEL SST,6705,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,HEBDEN BRIDGE,8524,HD,NORTHERN - WEST,Ticket Office,N/A
NORTHERN - WEST,HEBDEN BRIDGE SST,6269,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,HEIGHINGTON SST,1946,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,HESSLE SST,1955,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,HEWORTH SST,1969,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,HEXHAM,7506,HD,NORTHERN - WEST,Ticket Office,N/A
NORTHERN - WEST,HEXHAM SST,2958,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,HEYSHAM PORT SST,1970,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,HINDLEY,2398,HD,NORTHERN - WEST,Ticket Office,N/A
NORTHERN - WEST,HINDLEY SST,7864,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,HOLMES CHAPEL,1221,HD,NORTHERN - WEST,Ticket Office,N/A
NORTHERN - WEST,HOLMES CHAPEL SST,8751,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,HONLEY SST,3777,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,HOPE (DERBYSHIRE) SST,1971,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,HORDEN SST,8535,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,HORNBEAM PARK SST,6270,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,HORSFORTH,8499,HD,NORTHERN - WEST,Ticket Office,N/A
NORTHERN - WEST,HORSFORTH SST,4781,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,HORWICH PARKWAY,8720,HD,NORTHERN - WEST,Ticket Office,N/A
NORTHERN - WEST,HORWICH PARKWAY SST,8752,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,HOUGH GREEN,2303,HD,NORTHERN - WEST,Ticket Office,N/A
NORTHERN - WEST,HOUGH GREEN SST,8379,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,HOWDEN SST,1973,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,HUDDERSFIELD (NR) OTS,7833,HD,NORTHERN - WEST,TOC Handheld,N/A
NORTHERN - WEST,HULL (NR) OTS,7841,HD,NORTHERN - WEST,TOC Handheld,N/A
NORTHERN - WEST,HULL (NR) RP,3293,HD,NORTHERN - WEST,TOC Handheld,N/A
NORTHERN - WEST,HUMPHREY PARK SST,8771,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,HUNCOAT SST,8753,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,HUNMANBY SST,1974,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,HUTTON CRANSWICK SST,1980,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,HUYTON,2160,HD,NORTHERN - WEST,Ticket Office,N/A
NORTHERN - WEST,HUYTON SST,6271,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,HYDE CENTRAL SST,2001,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,HYDE NORTH SST,2005,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,ILKLEY,8568,HD,NORTHERN - WEST,Ticket Office,N/A
NORTHERN - WEST,ILKLEY SST,2984,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,INCE (MANCHESTER) SST,2006,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,IRLAM SST,6708,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,KEARSLEY SST,8772,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,KEIGHLEY,8468,HD,NORTHERN - WEST,Ticket Office,N/A
NORTHERN - WEST,KEIGHLEY SST,2986,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,KENDAL SST,2011,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,KENTS BANK SST,2012,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,KIRK SANDALL SST,2013,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,KIRKBY STEPHEN SST,2014,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,KIRKBY-IN-FURNESS SST,2015,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,KIRKHAM & WESHAM,2668,HD,NORTHERN - WEST,Ticket Office,N/A
NORTHERN - WEST,KIRKHAM & WESHAM SST,6709,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,KIRKSTALL FORGE SST,7818,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,KIVETON BRIDGE SST,2017,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,KIVETON PARK SST,2024,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,KNARESBOROUGH SST,6272,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,KNOTTINGLEY SST,2025,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,KNUTSFORD,2848,HD,NORTHERN - WEST,Ticket Office,N/A
NORTHERN - WEST,KNUTSFORD SST,6710,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,LANGHO SST,2034,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,LAYTON SST,8368,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,LEA GREEN,2339,HD,NORTHERN - WEST,Ticket Office,N/A
NORTHERN - WEST,LEA GREEN SST,6713,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,LEALHOLM SST,2038,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,LEEDS,8487,HD,NORTHERN - WEST,Ticket Office,N/A
NORTHERN - WEST,LEEDS (NR) GATES,2651,HD,NORTHERN - WEST,TOC Handheld,N/A
NORTHERN - WEST,LEEDS (NR) OTS,9603,HD,NORTHERN - WEST,TOC Handheld,N/A
NORTHERN - WEST,LEEDS (NR) RP,2649,HD,NORTHERN - WEST,TOC Handheld,N/A
NORTHERN - WEST,LEEDS BUSINESS TRAVEL,7143,HD,NORTHERN - WEST,TOC Corporate,N/A
NORTHERN - WEST,LEEDS NR AD EAST RP,4177,HD,NORTHERN - WEST,TOC Handheld,N/A
NORTHERN - WEST,LEEDS SST,2987,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,LEEDS TODLER,7594,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,LEEDS TRAVEL CENTRE,8937,HD,NORTHERN - WEST,Ticket Office,N/A
NORTHERN - WEST,LEVENSHULME,2862,HD,NORTHERN - WEST,Ticket Office,N/A
NORTHERN - WEST,LEVENSHULME SST,7865,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,LEYLAND,2710,HD,NORTHERN - WEST,Ticket Office,N/A
NORTHERN - WEST,LEYLAND SST,6273,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,LITTLEBOROUGH,2661,HD,NORTHERN - WEST,Ticket Office,N/A
NORTHERN - WEST,LITTLEBOROUGH SST,6277,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,LIVERPOOL (NR) RP,6542,HD,NORTHERN - WEST,TOC Handheld,N/A
NORTHERN - WEST,LIVERPOOL JL AIRPORT SST,3879,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,LIVERPOOL LIME ST (NR) OTS,9613,HD,NORTHERN - WEST,TOC Handheld,N/A
NORTHERN - WEST,LIVERPOOL LIME ST NORTHERN SST,3013,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,LIVERPOOL LIME STREET,2246,HD,NORTHERN - WEST,Ticket Office,N/A
NORTHERN - WEST,LIVERPOOL SOUTH PARKWAY SST,7581,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,LOCKWOOD SST,8419,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,LONGBECK SST,2065,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,LOSTOCK HALL SST,8754,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,LOSTOCK PARKWAY,2598,HD,NORTHERN - WEST,Ticket Office,N/A
NORTHERN - WEST,LOSTOCK PARKWAY SST,8421,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,LOW MOOR SST,7819,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,LYTHAM SST,2067,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,MANCHESTER (NR) TEAM RP,2909,HD,NORTHERN - WEST,TOC Handheld,N/A
NORTHERN - WEST,MANCHESTER OXFORD ROAD,2966,HD,NORTHERN - WEST,Ticket Office,N/A
NORTHERN - WEST,MANCHESTER OXFORD ROAD SST,2989,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,MANCHESTER PIC (NR OB) SST,4865,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,MANCHESTER PIC (NR) OTS,9653,HD,NORTHERN - WEST,TOC Handheld,N/A
NORTHERN - WEST,MANCHESTER PIC (NR) SST,3143,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,MANCHESTER VIC OTS,9654,HD,NORTHERN - WEST,TOC Handheld,N/A
NORTHERN - WEST,MANCHESTER VICTORIA,2970,HD,NORTHERN - WEST,Ticket Office,N/A
NORTHERN - WEST,MANCHESTER VICTORIA EXCESS,7597,HD,NORTHERN - WEST,TOC Handheld,N/A
NORTHERN - WEST,MANCHESTER VICTORIA SST,2990,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,MANORS SST,2070,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,MARPLE,2830,HD,NORTHERN - WEST,Ticket Office,N/A
NORTHERN - WEST,MARPLE SST,6714,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,MARSDEN SST,2071,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,MARSH BARTON SST,7883,HD,NORTHERN - WEST,Other,N/A
NORTHERN - WEST,MARSKE SST,2072,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,MARTON SST,2084,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,MARYPORT SST,6716,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,MAULDETH ROAD,2867,HD,NORTHERN - WEST,Ticket Office,N/A
NORTHERN - WEST,MAULDETH ROAD SST,6717,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,MEADOWHALL,6663,HD,NORTHERN - WEST,Ticket Office,N/A
NORTHERN - WEST,MEADOWHALL SST,2991,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,MENSTON,8574,HD,NORTHERN - WEST,Ticket Office,N/A
NORTHERN - WEST,MENSTON SST,6718,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,MEOLS COP SST,2085,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,METROCENTRE SST,7590,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,MEXBOROUGH,6707,HD,NORTHERN - WEST,Ticket Office,N/A
NORTHERN - WEST,MEXBOROUGH SST,4210,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,MICKLEFIELD SST,3361,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,MIDDLESBROUGH OTS,9666,HD,NORTHERN - WEST,TOC Handheld,N/A
NORTHERN - WEST,MIDDLESBROUGH RP,4230,HD,NORTHERN - WEST,TOC Handheld,N/A
NORTHERN - WEST,MILL HILL (LANCS) SST,4483,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,MILLOM,1997,HD,NORTHERN - WEST,Ticket Office,N/A
NORTHERN - WEST,MILLOM SST,2087,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,MILLS HILL (MANCHESTER) SST,6719,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,MIRFIELD SST,2088,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,MOORSIDE,2799,HD,NORTHERN - WEST,Ticket Office,N/A
NORTHERN - WEST,MOORSIDE SST,2109,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,MOORTHORPE SST,6722,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,MORECAMBE,2695,HD,NORTHERN - WEST,Ticket Office,N/A
NORTHERN - WEST,MORECAMBE SST,2113,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,MORLEY SST,2130,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,MORPETH,7680,HD,NORTHERN - WEST,Ticket Office,N/A
NORTHERN - WEST,MORPETH SST,6727,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,MOSES GATE SST,8773,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,MOSSLEY (GREATER MANCHESTER),2903,HD,NORTHERN - WEST,Ticket Office,N/A
NORTHERN - WEST,MOSSLEY (MANCHESTER) SST,2204,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,MOSSLEY HILL,2171,HD,NORTHERN - WEST,Ticket Office,N/A
NORTHERN - WEST,MOSSLEY HILL SST,8375,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,MOULDSWORTH SST,2206,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,MYTHOLMROYD SST,6728,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,NAFFERTON SST,2207,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,NAVIGATION ROAD SST,2208,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,NELSON,2565,HD,NORTHERN - WEST,Ticket Office,N/A
NORTHERN - WEST,NELSON SST,2209,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,NEW LANE SST,2275,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,NEW MILLS CENTRAL,2974,HD,NORTHERN - WEST,Ticket Office,N/A
NORTHERN - WEST,NEW MILLS CENTRAL SST,2276,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,NEW MILLS NEWTON SST,2277,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,NEW MILLS NEWTOWN,2769,HD,NORTHERN - WEST,Ticket Office,N/A
NORTHERN - WEST,NEW PUDSEY,8506,HD,NORTHERN - WEST,Ticket Office,N/A
NORTHERN - WEST,NEW PUDSEY SST,6279,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,NEWCASTLE (NR) OTS,3406,HD,NORTHERN - WEST,TOC Handheld,N/A
NORTHERN - WEST,NEWCASTLE (NR) RP,3251,HD,NORTHERN - WEST,TOC Handheld,N/A
NORTHERN - WEST,NEWCASTLE NR SST,2992,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,NEWTON AYCLIFFE SST,2298,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,NEWTON FOR HYDE,2789,HD,NORTHERN - WEST,Ticket Office,N/A
NORTHERN - WEST,NEWTON FOR HYDE SST,2299,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,NEWTON LE WILLOWS SST,6284,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,NEWTON-LE-WILLOWS,2257,HD,NORTHERN - WEST,Ticket Office,N/A
NORTHERN - WEST,NORMANTON SST,6730,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,NORTH ROAD (DARLINGTON) SST,2300,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,NORTH WEST CONCESS HQ INPUT,1203,HD,NORTHERN - WEST,TOC Other,N/A
NORTHERN - WEST,NORTH WEST MPTE HQ INPUT,1174,HD,NORTHERN - WEST,TOC Other,N/A
NORTHERN - WEST,NORTH WESTERN TRAINS PAC,3646,HD,NORTHERN - WEST,TOC Other,N/A
NORTHERN - WEST,NORTHERN LEEDS PROJECT RP,7161,HD,NORTHERN - WEST,TOC Handheld,N/A
NORTHERN - WEST,NORTHERN MAN VIC PROJECT RP,7162,HD,NORTHERN - WEST,TOC Handheld,N/A
NORTHERN - WEST,NORTHERN RAIL TELESALES,6541,HD,NORTHERN - WEST,TOC Contact Centre,N/A
NORTHERN - WEST,NORTHERN RAIL WEBSALES,6540,HD,NORTHERN - WEST,TOC Web,N/A
NORTHERN - WEST,NORTHERN SKIPTON PROJECT RP,7163,HD,NORTHERN - WEST,TOC Handheld,N/A
NORTHERN - WEST,NORTHERN TRAINPEOPLE BRADFORD,7157,HD,NORTHERN - WEST,TOC Handheld,N/A
NORTHERN - WEST,NORTHERN TRAINPEOPLE DONCASTER,7158,HD,NORTHERN - WEST,TOC Handheld,N/A
NORTHERN - WEST,NORTHERN TRAINPEOPLE HARROGATE,7159,HD,NORTHERN - WEST,TOC Handheld,N/A
NORTHERN - WEST,NORTHERN TRAINPEOPLE HULL,7160,HD,NORTHERN - WEST,TOC Handheld,N/A
NORTHERN - WEST,NORTHWICH,2326,HD,NORTHERN - WEST,Ticket Office,N/A
NORTHERN - WEST,NORTHWICH SST,6735,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,NR BARROW AFC,7798,HD,NORTHERN - WEST,TOC Handheld,N/A
NORTHERN - WEST,NR MAN PICC AFC,7797,HD,NORTHERN - WEST,TOC Handheld,N/A
NORTHERN - WEST,NR MAN VIC AFC,7799,HD,NORTHERN - WEST,TOC Handheld,N/A
NORTHERN - WEST,NUNTHORPE SST,2310,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,ORRELL SST,2311,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,OULTON BROAD SOUTH,7274,HD,NORTHERN - WEST,Other,N/A
NORTHERN - WEST,OUTWOOD SST,8422,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,PADGATE SST,2312,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,PANNAL SST,6744,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,PARBOLD,2402,HD,NORTHERN - WEST,Ticket Office,N/A
NORTHERN - WEST,PARBOLD SST,2317,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,PARTON SST,2318,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,PATRICROFT SST,8775,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,PEMBERTON SST,2320,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,PENISTONE SST,6745,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,PLEASINGTON SST,8986,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,Plumley,2308,HD,NORTHERN - WEST,,N/A
NORTHERN - WEST,PLUMLEY SST,2321,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,PONTEFRACT MONKHILL SST,2324,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,PONTEFRACT TANSHELF SST,2327,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,POPPLETON SST,8425,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,POULTON-LE-FYLDE,2671,HD,NORTHERN - WEST,Ticket Office,N/A
NORTHERN - WEST,POULTON-LE-FYLDE SST,6285,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,POYNTON,2874,HD,NORTHERN - WEST,Ticket Office,N/A
NORTHERN - WEST,POYNTON SST,8426,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,PRESCOT,2337,HD,NORTHERN - WEST,Ticket Office,N/A
NORTHERN - WEST,PRESCOT SST,8369,HD,NORTHERN - WEST,TVM,N/A
NORTHERN - WEST,PRESTBURY SST,8755,HD,NORTHERN - WEST,TVM,N/A
